Profile Link,Name,Designation,Qualification,Research Areas
https://business.smu.edu.sg/faculty/profile/84407/Abhijith-G-ACHARYA,Abhijith G. ACHARYA,['Assistant Professor of Strategic Management'],"PhD, Pennsylvania State University, 2013","['Organisational Behaviour & Human Resources', 'Power and Status', 'Strategy and Organisation', 'Corporate Strategy', 'Corporate Governance and Strategic Leadership', 'Entrepreneurship', 'Social Inclusion and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9460/ANG-Ser-Keng,ANG Ser Keng,"['Principal Lecturer of Finance', 'Vice Chairman of Executive Committee & Director, UOB-SMU Asian  Enterprise Institute', 'Academic Director, Master of Business Administration (MBA)', 'Academic Director, Executive Masters of Business (EMBA) Programme']","PhD in Finance, University of New South Wales (UNSW), 2017","['Finance', 'Corporate Finance and Corporate Governance', 'Wealth Management', 'Entrepreneurial Finance']"
https://business.smu.edu.sg/faculty/profile/86941/Marcus-ANG-Teck-Meng,Marcus ANG Teck Meng,['Associate Professor of Operations Management (Education)'],"PhD, National University of Singapore, 2008","['Operations Management', 'Supply Chain Management', 'Business Analytics', 'E-Commerce and Marketplace Analytics', 'Healthcare Operations Management', 'Operations Planning, Scheduling and Control', 'Inventory, Logistics and Transportation Management', 'Business Models and Innovation']"
https://business.smu.edu.sg/faculty/profile/84235/Buket-AVCI,Buket AVCI,['Assistant Professor of Operations Management'],"PhD, INSEAD, 2014","['Operations Management', 'Supply Chain Management', 'Sustainable Operations including Agri-business', 'Inventory, Logistics and Transportation Management']"
https://business.smu.edu.sg/faculty/profile/9462/Michael-Ramsay-BASHSHUR,Michael Ramsay BASHSHUR,"['Associate Professor of Organisational Behaviour & Human Resources', 'Academic Director, Master of Human Capital Leadership', 'Lee Kong Chian Fellow']","PhD, University of Illinois at Urbana Champaign, 2006","['Organisational Behaviour & Human Resources', 'Ethics, Trust, Fairness', 'Leadership', 'Judgement and Decision-making, Negotiation', 'Culture and Cross-cultural Management', 'Positive Organisation (Mindfulness, Humility, Proactivity)', 'Power and Status', 'Well-being and Stress', 'Strategy and Organisation', 'Organisational Change and Change Management', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/108206/Shantanu-BHATTACHARYA,Shantanu BHATTACHARYA,"['Lee Kong Chian Professor of Operations Management', 'Deputy Dean (Programmes)', 'Academic Director, PhD in Business (General Management)']","PhD, University of Texas at Austin, 1998","['Operations Management', 'Supply Chain Management', 'Sustainable Operations including Agri-business', 'Operations Strategy', 'Product, Process and Service Design and Improvement', 'E-Commerce and Marketplace Analytics', 'Project Management', 'Operations Planning, Scheduling and Control', 'Asian & ASEAN Initiatives', 'Social Inclusion and Innovation', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/81103/Devasheesh-P-BHAVE,Devasheesh P. BHAVE,"['Associate Professor of Organisational Behaviour & Human Resources', 'PGR Coordinator, Organisational Behaviour & Human Resources']","PhD, University of Minnesota, 2008","['Organisational Behaviour & Human Resources', 'Human Capital Strategy and Management', 'Positive Organisation (Mindfulness, Humility, Proactivity)', 'Well-being and Stress', 'Social Inclusion and Innovation', 'Human Development, Well-being & Ageing', 'Family & Close Relationships', 'Group & Organizational Dynamics']"
https://business.smu.edu.sg/faculty/profile/84237/BLEDOW-Ronald,BLEDOW Ronald,['Assistant Professor of Organisational Behaviour & Human Resources'],"PhD, University of Giessen, 2010","['Organisational Behaviour & Human Resources', 'Ethics, Trust, Fairness', 'Leadership', 'Organisational Creativity and Innovation', 'Positive Organisation (Mindfulness, Humility, Proactivity)']"
https://business.smu.edu.sg/faculty/profile/108211/Ekkehart-BOEHMER,Ekkehart BOEHMER,"['Professor of Finance', 'Academic Director, Sim Kee Boon Institute for Financial Economics']","PhD, University of Georgia, 1991","['Finance', 'Asset Pricing and Capital Markets', 'Corporate Finance and Corporate Governance', 'Financial Innovation and FinTech', 'Sustainable Finance', 'Behavioural Finance', 'Hedge Funds and Private Equity', 'Wealth Management', 'Real Estate Finance', 'Entrepreneurial Finance', 'Banking and Financial Intermediation', 'Social Inclusion and Innovation', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation', 'Corporate Social Responsibility']"
https://business.smu.edu.sg/faculty/profile/9464/Onur-BOYABATLI,Onur BOYABATLI,"['Associate Professor of Operations Management', 'DBS Sustainability Fellow']","PhD, INSEAD, 2007","['Organisational Behaviour & Human Resources', 'Judgement and Decision-making, Negotiation', 'Operations Management', 'Supply Chain Management', 'Business Analytics', 'Sustainable Operations including Agri-business', 'Operations Strategy', 'E-Commerce and Marketplace Analytics', 'Purchasing and Sourcing Management', 'Operations Planning, Scheduling and Control', 'Inventory, Logistics and Transportation Management', 'Asian & ASEAN Initiatives', 'Social Inclusion and Innovation', 'Natural Resources and Sustainable Businesses', 'Business Models and Innovation', 'Corporate Social Responsibility', 'Corporate Governance, Auditing & Risk Management', 'Risk Management', 'Financial Performance Analysis', 'Pricing of Credit Risk', 'Economic Theory', 'Decision Theory', 'Game Theory', 'Applied Microeconomics', 'Industrial Organisation', 'International Economics', 'Multinational Corporations', 'Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Analytics & Decision Support Practice']"
