Name,Designation
Jisun AN,['Assistant Professor of Computer Science']
Rajesh Krishna BALAN,['Associate Professor of Computer Science']
Rafael J. BARROS,"['Senior Lecturer of Information Systems; Coordinator, BSc (IS) Digitalisation & Cloud Solutions Track']"
Yixin CAO,['Assistant Professor of Computer Science']
Jonathan David CHASE,['Assistant Professor of Computer Science (Practice) (Joint appointment with OCC)']
CHENG Shih-Fen,['Associate Professor of Computer Science']
Michelle CHEONG,"['Professor of Information Systems (Education); Associate Dean, SCIS Post-Graduate Professional Education; Director, Doctor of Engineering']"
Seema CHOKSHI,['Senior Lecturer of Information Systems']
DAI Bing Tian,"['Assistant Professor of Computer Science (Education); Director, MITB (Artificial Intelligence) Programme']"
Subhajit DATTA,"['Assistant Professor of Computer Science (Education); Faculty Manager, IS Project Experience (Applications)']"
Robert H DENG,"['AXA Chair Professor of Cybersecurity; Deputy Dean, Faculty & Research; Director, Secure Mobile Centre']"
DING XuHua,"['Associate Professor of Computer Science; Coordinator, BSc (CS) Cybersecurity Track']"
"DURAN, Randall",['Senior Lecturer of Information Systems']
FANG Yuan,['Assistant Professor of Computer Science; Lee Kong Chian Fellow']
FWA Hua Leong,['Senior Lecturer of Information Systems']
Benjamin GAN,"['Associate Professor of Information Systems (Education); Member, University Tribunal']"
GAO Yang,['Assistant Professor of Information Systems']
Wei GAO,['Assistant Professor of Computer Science']
Debin GAO,"['Associate Professor of Computer Science; Faculty Manager, SMU BSc (IS)-CMU Fast-Track Programme; Supervisor to SCIS UG instructors']"
Swapna GOTTIPATI,['Associate Professor of Information Systems (Education); Associate Dean (Undergraduate Education)']
Paul Robert GRIFFIN,['Associate Professor of Information Systems (Practice)']
Aldy GUNAWAN,['Assistant Professor of Computer Science (Practice)']
Zhiling GUO,['Associate Professor of Information Systems']
"HARA, Kotaro",['Assistant Professor of Computer Science; Lee Kong Chian Fellow']
HOE Siu Loon,"['Associate Professor of Information Systems (Practice); Director, MITB (Digital Transformation) Programme']"
Steven HOI,['Professor of Computer Science']
HUANG Zhiwu,['Assistant Professor of Computer Science']
JIANG Lingxiao,"['Associate Professor of Computer Science; Director, Research Lab for Intelligent Software Engineering; Lee Kong Chian Fellow']"
Jing JIANG,"['Professor of Computer Science; Director, Artificial Intelligence & Data Science Cluster; Lee Kuan Yew Fellow']"
KAM Tin Seong,['Associate Professor of Information Systems (Practice)']
Thivya KANDAPPU,['Assistant Professor of Computer Science']
KE Ping Fan,['Assistant Professor of Information Systems']
Akshat KUMAR,['Associate Professor of Computer Science; Lee Kong Chian Fellow']
Haewoon KWAK,"['Associate Professor of Computer Science; Member, Institutional Review Board; D.S. Lee Foundation Fellow']"
LAU Hoong Chuin,['Professor of Computer Science']
Hady W. LAUW,"['Associate Professor of Computer Science; Director, BSc (Computer Science) Programme; Lee Kong Chian Fellow']"
LEE Yeow Leong,"['Principal Lecturer of Computer Science; Director, Undergraduate Matters']"
"LEE, Min",['Assistant Professor of Computer Science']
LI Yuchen,['Assistant Professor of Computer Science']
LIAO Lizi,['Assistant Professor of Computer Science']
LIM Ee Peng,"['Lee Kong Chian Professor of Computer Science; Director, Living Analytics Research Centre']"
LIN Mei,['Assistant Professor of Information Systems']
Daniel LIN,['Assistant Professor of Computer Science; Lee Kong Chian Fellow']
David LO,"['Professor of Computer Science; Director, Information Systems & Technology Cluster; Deputy Director, Research Lab for Intelligent Software Engineering']"
LO Siaw Ling,['Assistant Professor of Information Systems (Education)']
MA Dong,['Assistant Professor of Computer Science']
Dan MA,"['Associate Professor of Information Systems; Course Manager, Spreadsheet Modeling & Analytics']"
MAI Anh Tien,['Assistant Professor of Information Systems']
Alan MEGARGEL,"['Assistant Professor of Information Systems (Practice); Coordinator, BSc (IS) Financial Technology Track']"
Archan MISRA,['Vice Provost (Research); Professor of Computer Science']
"MOK, Heng Ngee","['Lecturer of Computer Science; Director, BSc (Software Engineering) Programme']"
Kyriakos MOURATIDIS,['Associate Professor of Computer Science']
NGO Chong Wah,"['Professor of Computer Science; Director, Human-Machine Collaborative Systems Cluster']"
OUH Eng Lieh,"['Assistant Professor of Computer Science (Education); Director, BSc (IS) Information Systems Major']"
Guansong PANG,['Assistant Professor of Computer Science']
PANG Hwee Hwa,"['Dean, School of Computing and Information Systems; Lee Kong Chian Chair Professor of Computer Science']"
Chris POSKITT,"['Assistant Professor of Computer Science (Education); Director, BSc (IS) Smart-City Management & Technology Major']"
Venky SHANKARARAMAN,['Vice Provost (Education); Professor of Information Systems (Education)']
SHAR Lwin Khin,['Associate Professor of Computer Science (Practice)']
Kyong Jin SHIM,"['Assistant Professor of Information Systems (Practice); Coordinator, BSc (IS) Business Analytics Track']"
Arunesh SINHA,['Assistant Professor of Computer Science; Lee Kong Chian Fellow']
SUN Jun,"['Professor of Computer Science; Deputy Director, Research Lab for Intelligent Software Engineering; Lee Kuan Yew Fellow']"
SUN Qianru,['Assistant Professor of Computer Science; Lee Kong Chian Fellow']
Don TA,"['Assistant Professor of Computer Science (Education); Faculty Manager, B.Sc. (CS) Project Experience']"
TAN Chee Hiang Nicholas,['Senior Lecturer of Information Systems']
TAN Ah Hwee,['Professor of Computer Science; Associate Dean (Research); Jubilee Technology Fellow']
TAN Kar Way,"['Associate Professor of Information Systems (Practice); Director, MITB (Analytics) Programme']"
Qian TANG,['Associate Professor of Information Systems']
Patrick THNG,"['Senior Lecturer of Information Systems; Director, MITB (Financial Technology & Analytics) Programme']"
Manoj THULASIDAS,['Associate Professor of Computer Science (Education)']
Pradeep Reddy VARAKANTHAM,"['Associate Professor of Computer Science; Director, CARE.AI Lab; Coordinator, BSc (CS) Artificial Intelligence Track']"
WANG Zhaoxia,['Associate Professor of Computer Science (Practice)']
WANG Yong,['Assistant Professor of Computer Science']
WANG Hai,['Associate Professor of Information Systems']
XIE Xiaofei,['Assistant Professor of Computer Science']
ZHENG Baihua,"['Professor of Computer Science; Associate Dean (SCIS Post-Graduate Research Programmes); Director, Master of Science in Computing']"
Zimu ZHOU,"['Assistant Professor of Computer Science; Coordinator, BSc (CS) Cyber-Physical Systems Track; Lee Kong Chian Fellow']"
ZHU Feida,['Associate Professor of Computer Science']
