Name,Designation,Profile Link,Qualification,Research Areas
Jisun AN,['Assistant Professor of Computer Science'],https://scis.smu.edu.sg/faculty/profile/167451/Jisun-AN,"PhD, University of Cambridge, 2015","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Information Systems & Technology', 'Information Systems Management', 'Active Citizenry & Communities', 'Lifestyle & Wellness Intelligence', 'Urban & Social Analytics']"
Rajesh Krishna BALAN,['Associate Professor of Computer Science'],https://scis.smu.edu.sg/faculty/profile/9604/Rajesh-Krishna-BALAN,"PhD, Carnegie Mellon University, 2006","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Human-Machine Collaborative Systems', 'Pervasive Sensing & Systems', 'Multimedia', 'Human-Machine Interaction', 'Information Systems & Technology', 'Software Engineering & Systems', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Analytics & Decision Support Practice', 'Urban Systems & Operations', 'Crowd Management', 'Urban Mobility & Smart Commuting', 'Active Citizenry & Communities', 'Lifestyle & Wellness Intelligence', 'Urban & Social Analytics']"
Rafael J. BARROS,"['Senior Lecturer of Information Systems; Coordinator, BSc (IS) Digitalisation & Cloud Solutions Track']",https://scis.smu.edu.sg/faculty/profile/150526/Rafael-J-BARROS,"Master of Science, California State University, East Bay, 2011","['Information Systems & Technology', 'Software Engineering & Systems', 'Information Systems Management', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'IT Practice-Methdologies, Architectures & Framework']"
Yixin CAO,['Assistant Professor of Computer Science'],https://scis.smu.edu.sg/faculty/profile/6241/yixin-cao,"PhD, Tsinghua University, 2018","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Human-Machine Collaborative Systems', 'Multimedia']"
Jonathan David CHASE,['Assistant Professor of Computer Science (Practice) (Joint appointment with OCC)'],,,
CHENG Shih-Fen,['Associate Professor of Computer Science'],https://scis.smu.edu.sg/faculty/profile/9608/CHENG-Shih-Fen,"PhD, University of Michigan, 2006","['Artificial Intelligence and Data Science', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'Urban Systems & Operations', 'Crowd Management', 'Urban Mobility & Smart Commuting', 'Urban Logistics & Sustainability', 'Active Citizenry & Communities', 'Community Crowdsourcing & Crowdtasking', 'Urban & Social Analytics']"
Michelle CHEONG,"['Professor of Information Systems (Education); Associate Dean, SCIS Post-Graduate Professional Education; Director, Doctor of Engineering']",https://scis.smu.edu.sg/faculty/profile/9609/Michelle-CHEONG,"PhD, Nanyang Technological University, 2005","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice']"
Seema CHOKSHI,['Senior Lecturer of Information Systems'],https://scis.smu.edu.sg/faculty/profile/83109/Seema-CHOKSHI,"Masters in Applied Statistics & Informatics, Indian Institute of Technology, Mumbai, 2004","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Human-Machine Collaborative Systems', 'Human-Machine Interaction', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice']"
DAI Bing Tian,"['Assistant Professor of Computer Science (Education); Director, MITB (Artificial Intelligence) Programme']",https://scis.smu.edu.sg/faculty/profile/146776/DAI-Bing-Tian,"PhD, National University of Singapore, 2012","['Artificial Intelligence and Data Science', 'Intelligent Systems & Optimisation', 'Machine Learning & Intelligence', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy']"
Subhajit DATTA,"['Assistant Professor of Computer Science (Education); Faculty Manager, IS Project Experience (Applications)']",https://scis.smu.edu.sg/faculty/profile/159421/Subhajit-DATTA,"PhD, Florida State University, 2009","['Information Systems & Technology', 'Software Engineering & Systems', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'IT Practice-Methdologies, Architectures & Framework']"
