Profile Link,Name,Designation,Qualification,Research Areas
https://scis.smu.edu.sg/faculty/profile/167451/Jisun-AN,Jisun AN,['Assistant Professor of Information Systems'],"PhD, University of Cambridge, 2015","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Information Systems & Technology', 'Information Systems Management', 'Active Citizenry & Communities', 'Lifestyle & Wellness Intelligence', 'Urban & Social Analytics']"
https://scis.smu.edu.sg/faculty/profile/9604/Rajesh-Krishna-BALAN,Rajesh Krishna BALAN,"['Associate Professor of Information Systems', 'Lee Kong Chian Fellow']","PhD, Carnegie Mellon University, 2006","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Human-Machine Collaborative Systems', 'Pervasive Sensing & Systems', 'Multimedia', 'Human-Machine Interaction', 'Information Systems & Technology', 'Software Engineering & Systems', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Analytics & Decision Support Practice', 'Urban Systems & Operations', 'Crowd Management', 'Urban Mobility & Smart Commuting', 'Active Citizenry & Communities', 'Lifestyle & Wellness Intelligence', 'Urban & Social Analytics']"
https://scis.smu.edu.sg/faculty/profile/150526/Rafael-J-BARROS,Rafael J. BARROS,"['Senior Lecturer of Information Systems', 'Coordinator, BSc (IS) Digital Business Solutioning Track']","Master of Science, California State University, East Bay, 2011","['Information Systems & Technology', 'Software Engineering & Systems', 'Information Systems Management', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'IT Practice-Methdologies, Architectures & Framework']"
https://scis.smu.edu.sg/faculty/profile/164621/Kai-CAO,Kai CAO,"['Assistant Professor of Information Systems (Education)', 'Director, BSc (IS) Smart-City Management & Technology Major']","PhD, Chinese University of Hong Kong, 2010","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Urban Systems & Operations', 'Urban Mobility & Smart Commuting', 'Urban Logistics & Sustainability', 'Active Citizenry & Communities', 'Urban & Social Analytics', 'Safety & Security', 'Optimisation of Security & Civil Resource Deployment']"
https://scis.smu.edu.sg/faculty/profile/9608/CHENG-Shih-Fen,CHENG Shih-Fen,"['Associate Professor of Information Systems', 'Lee Kong Chian Fellow']","PhD, University of Michigan, 2006","['Artificial Intelligence and Data Science', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'Urban Systems & Operations', 'Crowd Management', 'Urban Mobility & Smart Commuting', 'Urban Logistics & Sustainability', 'Active Citizenry & Communities', 'Community Crowdsourcing & Crowdtasking', 'Urban & Social Analytics']"
https://scis.smu.edu.sg/faculty/profile/9609/Michelle-CHEONG,Michelle CHEONG,"['Professor of Information Systems (Education)', 'Associate Dean, SIS Post-Graduate Professional Education', 'Director, Doctor of Engineering']","PhD, Nanyang Technological University, 2005","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice']"
https://scis.smu.edu.sg/faculty/profile/83109/Seema-CHOKSHI,Seema CHOKSHI,['Senior Lecturer of Information Systems'],"Masters in Applied Statistics & Informatics, Indian Institute of Technology, Mumbai, 2004","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Human-Machine Collaborative Systems', 'Human-Machine Interaction', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice']"
https://scis.smu.edu.sg/faculty/profile/146776/DAI-Bing-Tian,DAI Bing Tian,"['Assistant Professor of Information Systems (Education)', 'Director, MITB (Artificial Intelligence) Programme']","PhD, National University of Singapore, 2012","['Artificial Intelligence and Data Science', 'Intelligent Systems & Optimisation', 'Machine Learning & Intelligence', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy']"
https://scis.smu.edu.sg/faculty/profile/159421/Subhajit-DATTA,Subhajit DATTA,"['Assistant Professor of Information Systems (Education)', 'Faculty Manager, IS Project Experience (Applications)']","PhD, Florida State University, 2009","['Information Systems & Technology', 'Software Engineering & Systems', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'IT Practice-Methdologies, Architectures & Framework']"
https://scis.smu.edu.sg/faculty/profile/9611/Robert-H-DENG,Robert H DENG,"['AXA Chair Professor of Cybersecurity', 'Deputy Dean, Faculty & Research', 'Director, Secure Mobile Centre']","PhD, Illinois Institute of Technology, 1985","['Information Systems & Technology', 'Cybersecurity', 'Safety & Security', 'Security of Digital Platforms & Devices', 'Privacy-Preserving Data Sharing & Analytics']"
https://scis.smu.edu.sg/faculty/profile/9612/DING-XuHua,DING XuHua,"['Associate Professor of Information Systems', 'Coordinator, BSc (CS) Cybersecurity Track']","PhD, University of Southern California, 2003","['Information Systems & Technology', 'Cybersecurity', 'Safety & Security', 'Security of Digital Platforms & Devices']"
"https://scis.smu.edu.sg/faculty/profile/167536/DURAN,-Randall","DURAN, Randall",['Senior Lecturer of Information Systems'],"Master of Science, Massachusetts Institute of Technology, 1992","['Information Systems & Technology', 'Cybersecurity', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'Safety & Security', 'Cybersecurity Regulations & Policies']"
https://scis.smu.edu.sg/faculty/profile/156391/FANG-Yuan,FANG Yuan,['Assistant Professor of Information Systems'],"PhD, University of Illinois at Urbana Champaign, 2014","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Active Citizenry & Communities', 'Urban & Social Analytics']"
https://scis.smu.edu.sg/faculty/profile/9614/Benjamin-GAN,Benjamin GAN,"['Associate Professor of Information Systems (Education)  Member, University Tribunal']","PhD, University of Iowa, 1995","['Human-Machine Collaborative Systems', 'Human-Machine Interaction', 'Information Systems & Technology', 'Software Engineering & Systems', 'Information Systems Management', 'Computing Practice & Education', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice']"
https://scis.smu.edu.sg/faculty/profile/9615/Debin-GAO,Debin GAO,"['Associate Professor of Information Systems', 'Faculty Manager, SMU BSc (IS)-CMU Fast-Track Programme', 'Supervisor to SIS UG instructors']","PhD, Carnegie Mellon University, 2006","['Human-Machine Collaborative Systems', 'Pervasive Sensing & Systems', 'Information Systems & Technology', 'Software Engineering & Systems', 'Cybersecurity', 'Safety & Security', 'Security of Digital Platforms & Devices']"
https://scis.smu.edu.sg/faculty/profile/164201/Wei-GAO,Wei GAO,['Assistant Professor of Information Systems'],"PhD, Chinese University of Hong Kong, 2010","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Active Citizenry & Communities', 'Urban & Social Analytics']"
https://scis.smu.edu.sg/faculty/profile/105401/Swapna-GOTTIPATI,Swapna GOTTIPATI,"['Associate Professor of Information Systems (Education)', 'Associate Dean (Undergraduate Education)']","PhD, Singapore Management University, 2014","['Artificial Intelligence and Data Science', 'Data Management & Analytics', 'Machine Learning & Intelligence', 'Information Systems & Technology', 'Software Engineering & Systems', 'Computing Practice & Education', 'Technology-Enhanced Learning', 'Computing Curriculum & Pedagogy', 'Analytics & Decision Support Practice', 'IT Practice-Methdologies, Architectures & Framework', 'Active Citizenry & Communities', 'Job & Skill Intelligence', 'Lifestyle & Wellness Intelligence']"
https://scis.smu.edu.sg/faculty/profile/144781/Paul-Robert-GRIFFIN,Paul Robert GRIFFIN,['Associate Professor of Information Systems (Practice)'],"PhD, Imperial College London, 1997","['Information Systems & Technology', 'Software Engineering & Systems', 'Information Systems Management', 'Computing Practice & Education', 'Computing Curriculum & Pedagogy', 'Safety & Security', 'Privacy-Preserving Data Sharing & Analytics']"
https://scis.smu.edu.sg/faculty/profile/153976/Aldy-GUNAWAN,Aldy GUNAWAN,['Assistant Professor of Information Systems (Practice)'],"PhD, National University of Singapore, 2009","['Artificial Intelligence and Data Science', 'Intelligent Systems & Optimisation', 'Computing Practice & Education', 'Analytics & Decision Support Practice', 'Urban Systems & Operations', 'Urban Logistics & Sustainability', 'Active Citizenry & Communities', 'Job & Skill Intelligence']"
